Index,Text
1,"시작은 단순했다. 엄마와 같이 간 동대문시장에서 베이지색 트위드 재킷을 샀고, 예쁘다는 주위 반응에 혹시나 하는 마음으로 옥션에 올렸다."
2,"중국의 한 파워블로거가 스타일난다 홍대 매장에서 옷과 화장품을 구매하는 사진을 올린 뒤로, 중국인들이 트렁크를 들고 매장에 오기 시작했다."
3,로레알은 색조화장품 분야를 강화하기 위해 스타일난다 인수전에 뛰어든 것으로 전해졌다.
4,"캐주얼한 재킷, 파스텔톤 니트로 말끔한 남친룩으로 시선을 사로잡는가 하면, 카메라를 향해 따뜻한 눈빛을 발산하며 여심을 설레게 한다."
5,물론 신수지와 장현승의 열애 사실이 이미 공개된 상태이기 때문에 두 사람이 연인 관계라는 것이 새삼스러울 것은 없다.
6,하지만 장현승은 일단 보이그룹 출신 아이돌이다. 아이돌에게 유독 민감한 것이 연애 이야기이기 때문에 이들의 솔직함이 팬들에겐 상처로 돌아올 수도 있는 것. 
7,"장현승이 그룹 비스트에서 탈퇴하며 하이라이트에 합류하지는 않았지만, 그는 여전히 아이돌의 범주에 있는 가수다."
8,하지만 아직까지 팬덤이 아이돌 스타들의 공개 연애에 민감한 것이 사실이다. 팬들 사이에서 이미 두 사람의 관계를 알고 있다고 하더라도 공식적으로 인정하고 공개 열애를 하는 것은 또 다른 이야기.
9,"열애 사실이 공개되긴 했지만, 그럼에도 아이돌 남자친구에 대한 배려가 아쉬웠던 신수지의 솔직함이다. "
10,닐로 소속사 리메즈 엔터테인먼트는 바이럴 마케팅 회사다. 페이스북 등에서 다수의 팔로워를 확보한 음악 전문 페이지를 자체적으로 운영하고 있다.
11,"사진 속에는 다정한 포즈를 취하고 있는 정시아, 백보람의 모습이 담겼다. 정시아, 백보람은 카메라를 바라보며 살짝 미소 짓고 있다."
12,"12일 공개된 그라치아 5월호를 보면, 커버 속 김남주가 핀스트라이프 재킷 하나만을 걸친 채 아찔한 각선미를 드러냈다."
13,여기에 우아한 카리스마를 닮은 플라워 모티브의 숄더백을 매치해 고혹적인 매력의 캐릭터 고혜란을 재현했다.
14,제작진에 따르면 김남주는 이번 촬영에서 자신만의 고혹적인 표정과 아우라가 넘치는 여유있는 포즈로 매력을 유감없이 뽐냈다는 후문.
15,유역비는 중국의 전통 의상을 입고 고전미를 발산했다. 벨벳 소재의 의상으로 단아하면서도 우아한 매력을 뽐냈다. 
16,이날 유역비는 전보다 다소 살이 찐 모습으로 등장해 더욱 눈길을 끌었다. 브이라인의 얼굴형은 살이 올라 통통해졌다.
17,"이번 영화에서 김무열은 잘생김을 내려놓고 러닝 타임 내내 망가진 얼굴로 등장한다. 스크린에서 그렇게 망가지는 모습이 처음일 텐데, 자신의 모습이 낯설진 않았을까."
18,"유기적으로 목적이 잘 활용돼서 전개가 진행되는 게 다른 영화와 비교했을 때도 겹치는 부분이 많기는 하지만, 똑똑하게 잘 활용한 것 같아요."
19,김무열이 맡은 민재 역할은 돈으로 울고 웃는 캐릭터. 어머니의 수술비를 구하기 위해 벼랑 끝에서 지푸라기라도 잡으려고 발악하는 캐릭터다.
20,"그래서 그런 빠져나갈 수 없는 늪에 빠진 기분, 그런 게 공감이 됐죠. 캐릭터보다는 이야기가 전체적으로 재밌어서 선택하게 된 작품이고요."
21,"다 하고 싶어요. 모든 배우가 욕심은 다 그렇게 가지고 있는데, 어떤 의미에서는 깨부수고 발견을 하고 발전을 해야 하는 게 제가 해야 하는 일이니까요. 사실 제 취향은 코미디영화예요."
22,"영화의 흥행에 대해서는 어떻게 기대하고 있을까. 7명 주연 배우들의 호흡도 그렇지만, 김무열의 변신이 얼마나 관객들에게 통할지도 궁금증을 모으는 부분이다."
23,"또한, MBC에브리원 주간아이돌을 성공적으로 이끌었지만, 방송사 개편으로 갑작스럽게 프로그램에서 하차하게 된 정형돈과 데프콘이 다시 한번 의기투합할 프로그램이 마련돼 시너지가 주목된다. "
24,그는 대본을 보면서 대체 강태욱이 왜 이렇게까지 고혜란을 사랑하는 건지 내 마음이 다 아팠다고 털어놨다. 덧붙여 극 중 강태욱이 사랑인지 개인적인 욕망인지 고민한다. 그 내적갈등이 너무 멋있었다며 엄지를 치켜세웠다.
25,하리수는 12일 자신의 사회관계망서비스에 사진을 찍느라 허리를 너무 꺾었더니 허리살이 접혔다며 열심히 다이어트를 해도 나잇살은 어쩔수가 없나보다고 적었다.
26,클레멘티에프는 12일 서울 종로구 포시즌스 호텔에서 열린 어벤져스 기자회견에 참석해 이 자리에 있다는 게 너무 기쁘고 감격스럽다고 소감을 밝혔다.
27,팬분들에게 준비한 것들을 다시 보여드릴 수 있는 기회가 생겨 너무 감사하다. 우리의 이야기를 담은 좋은 노래를 들려드리겠다고 소감을 밝혔다.
28,경찰 조사결과 중국총책 김씨는 국내에 보이스피싱 조직을 만들어 휴대폰 메신저 등을 통해 국내총책 이씨에게 범행을 지시했다. 이들은 대중 화장품 무역 거래를 하면서 알게 된 사이다.
29,또 당시 선배 김씨는 후배에게 술자리에서 버릇없게 행동해 맞았다라는 등 단순 폭력사건으로 조작하기 위해 허위로 증언할 것으로 요구 했으며 후배가 이를 따르지 않아 주먹을 휘두른 것으로 밝혀졌다.
